iter	Passed	Remaining
0	4	4300
1	10	4720
2	16	4879
3	21	4905
4	27	4941
5	33	4928
6	38	4967
7	44	4938
8	48	4814
9	53	4746
10	57	4687
11	62	4620
12	66	4555
13	70	4488
14	75	4431
15	79	4385
16	83	4357
17	88	4336
18	92	4301
19	97	4279
20	101	4242
21	105	4197
22	109	4178
23	113	4142
24	117	4121
25	121	4100
26	126	4084
27	130	4067
28	134	4047
29	138	4029
30	143	4015
31	147	3999
32	151	3986
33	154	3937
34	159	3939
35	163	3932
36	168	3937
37	174	3960
38	181	4008
39	191	4119
40	198	4161
41	205	4188
42	211	4211
43	217	4237
44	224	4267
45	234	4362
46	240	4368
47	246	4373
48	252	4382
49	257	4385
50	263	4382
51	268	4377
52	273	4374
53	279	4371
54	284	4373
55	289	4369
56	295	4363
57	299	4352
58	304	4343
59	309	4332
60	314	4324
61	319	4322
62	325	4318
63	331	4324
64	336	4328
65	342	4325
66	347	4320
67	353	4326
68	359	4331
69	368	4368
70	376	4392
71	386	4439
72	391	4440
73	399	4454
74	404	4453
75	411	4456
76	419	4487
77	425	4484
78	431	4480
79	437	4480
80	442	4477
81	448	4476
82	454	4478
83	461	4478
84	466	4471
85	472	4468
86	477	4462
87	482	4456
88	488	4449
89	493	4443
90	499	4439
91	504	4433
92	510	4429
93	515	4419
94	521	4415
95	525	4404
96	530	4394
97	536	4389
98	541	4383
99	546	4374
100	552	4368
101	557	4361
102	562	4355
103	568	4348
104	573	4340
105	578	4331
106	583	4326
107	588	4318
108	594	4312
109	599	4305
110	604	4295
111	609	4287
112	614	4279
113	619	4272
114	624	4265
115	630	4258
116	635	4254
117	641	4250
118	647	4252
119	653	4248
120	659	4245
121	665	4245
122	671	4242
123	678	4244
124	684	4242
125	689	4237
126	695	4234
127	702	4234
128	707	4228
129	713	4226
130	719	4222
131	725	4220
132	732	4222
133	737	4217
134	743	4210
135	748	4203
136	753	4199
137	759	4191
138	764	4184
139	768	4174
140	773	4164
141	778	4154
142	782	4143
143	787	4132
144	791	4119
145	795	4108
146	800	4098
147	804	4087
148	808	4076
149	813	4066
150	817	4057
151	822	4047
152	827	4038
153	831	4029
154	836	4020
155	841	4011
156	846	4004
157	850	3994
158	855	3984
159	859	3974
160	864	3968
161	869	3961
162	874	3953
163	879	3945
164	883	3936
165	888	3928
166	893	3921
167	898	3912
168	902	3902
169	906	3892
170	911	3884
171	915	3873
172	919	3863
173	923	3852
174	926	3839
175	930	3827
176	934	3817
177	938	3807
178	943	3798
179	947	3788
180	951	3778
181	955	3769
182	959	3759
183	963	3749
184	967	3740
185	972	3732
186	976	3722
187	980	3713
188	984	3705
189	989	3695
190	993	3687
191	997	3679
192	1002	3672
193	1006	3664
194	1011	3657
195	1016	3649
196	1020	3640
197	1024	3632
198	1028	3622
199	1032	3612
200	1036	3604
201	1040	3596
202	1044	3587
203	1049	3579
204	1053	3570
205	1057	3561
206	1061	3552
207	1065	3543
208	1069	3535
209	1073	3526
210	1077	3518
211	1081	3509
212	1085	3501
213	1089	3493
214	1093	3484
215	1097	3476
216	1102	3468
217	1106	3461
218	1110	3454
219	1115	3446
220	1119	3439
221	1123	3432
222	1127	3424
223	1132	3416
224	1136	3409
225	1140	3402
226	1145	3394
227	1149	3387
228	1153	3380
229	1157	3372
230	1162	3365
231	1166	3359
232	1170	3351
233	1175	3344
234	1179	3337
235	1183	3329
236	1187	3322
237	1191	3315
238	1195	3307
239	1200	3300
240	1204	3293
241	1208	3286
242	1212	3279
243	1217	3272
244	1221	3266
245	1225	3258
246	1230	3252
