iter	Logloss
0	0.657241905
1	0.6222825434
2	0.5921813701
3	0.5659240058
4	0.5380064856
5	0.5159137454
6	0.4957936743
7	0.4761779073
8	0.4591511569
9	0.4450085859
10	0.4293993687
11	0.4161019391
12	0.4031489924
13	0.3916292506
14	0.3808115477
15	0.3689172307
16	0.3574150203
17	0.3501944956
18	0.3427492786
19	0.3345188277
20	0.3273226962
21	0.3198462176
22	0.3138704098
23	0.3078468965
24	0.3034176604
25	0.2997709627
26	0.2945614348
27	0.2908256805
28	0.2863837166
29	0.2834782118
30	0.2793034927
31	0.2768702072
32	0.2740256936
33	0.2708925057
34	0.2678022452
35	0.2659472543
36	0.2631559003
37	0.2607305355
38	0.2590075328
39	0.2569393922
40	0.2549368169
41	0.2532834916
42	0.2523591704
43	0.2513582068
44	0.249938641
45	0.2486976524
46	0.2479381823
47	0.2464632686
48	0.2451359284
49	0.244144896
50	0.2433050611
51	0.2423058413
52	0.2412943115
53	0.2406244712
54	0.239698121
55	0.2383803658
56	0.2378113951
57	0.2366524443
58	0.2357866923
59	0.234577203
60	0.2338332932
61	0.2329251809
62	0.2325667078
63	0.2323146511
64	0.2318963337
65	0.2314637905
66	0.2308544377
67	0.2304229879
68	0.2300891478
69	0.2294719947
70	0.2288309458
71	0.2285003184
72	0.2279692702
73	0.2276294684
74	0.2270732647
75	0.226742378
76	0.2264418967
77	0.2260868065
78	0.2255473628
79	0.2253563164
80	0.2250970433
81	0.2248506728
82	0.22457561
83	0.2242500199
84	0.2237476318
85	0.2234824489
86	0.2232049684
87	0.22308669
88	0.2228811269
89	0.2225635009
90	0.2223024517
91	0.221988481
92	0.2217326768
93	0.2213498199
94	0.2211727939
95	0.2210199899
96	0.2208894214
97	0.2207313662
98	0.2204616867
99	0.2202836932
100	0.2199379749
101	0.2196630159
102	0.2195378625
103	0.2193979548
104	0.2189236554
105	0.2185916756
106	0.2184324997
107	0.2182057328
108	0.2175649975
109	0.2172979559
110	0.2170882661
111	0.2168797059
112	0.216635215
113	0.2160888338
114	0.2160135306
115	0.2159144138
116	0.2157366729
117	0.2154786059
118	0.2153469007
119	0.2152103334
120	0.2151678782
121	0.2150176583
122	0.2148593292
123	0.2147226609
124	0.2147012745
125	0.2145282614
126	0.2144624069
127	0.2141625412
128	0.2139676216
129	0.2138016473
130	0.2136788256
131	0.2135254334
132	0.2134344345
133	0.2133003738
134	0.2131735185
135	0.2131652641
136	0.2130770031
137	0.2127125614
138	0.2127054032
139	0.2125056398
140	0.2122990168
141	0.2120924931
142	0.2120569849
143	0.2119432365
144	0.2116221349
145	0.2114910544
146	0.2114744751
147	0.2113779023
148	0.2110819431
149	0.2109142544
150	0.2108743353
151	0.2107155854
152	0.2105974546
153	0.2105931992
154	0.2104558735
155	0.210403171
156	0.2102703134
157	0.2101413709
158	0.2100529097
159	0.2097725306
160	0.2096567798
161	0.2093985134
162	0.2092751118
163	0.2091454241
164	0.2090213192
165	0.2089325126
166	0.2088742092
167	0.2087297555
168	0.2086744634
169	0.2086306475
170	0.2085182663
171	0.2083635178
172	0.2082766802
173	0.2082664241
174	0.2081677898
175	0.2081428697
176	0.2080952438
177	0.207917544
178	0.2078327745
179	0.2077817052
180	0.2075957785
181	0.2075246184
182	0.207358333
183	0.2072276683
184	0.2071291838
185	0.2070192604
186	0.2069625335
187	0.2069081676
188	0.2067679198
189	0.2065691174
190	0.2064754725
191	0.2062795119
192	0.2061445436
193	0.205988675
194	0.2058873589
195	0.2058323569
196	0.2057208507
197	0.2055854002
198	0.2055658729
199	0.2055378544
200	0.2052485731
201	0.2051166026
202	0.2050475864
203	0.2050417293
204	0.2049164519
205	0.2046403815
206	0.2045104823
207	0.2044133005
208	0.2043542671
209	0.2042056701
210	0.2040468648
211	0.2038645319
212	0.2037596459
213	0.2036519264
214	0.2034884208
215	0.2034324794
216	0.2034272108
217	0.2033728433
218	0.2032135333
219	0.2031815389
220	0.2030512699
221	0.2029605646
222	0.2028863161
223	0.2027094649
224	0.2026166226
225	0.2025223751
226	0.2024947409
227	0.2024657349
228	0.2023384244
229	0.2023327445
230	0.2022778963
231	0.2022526216
232	0.2021848038
233	0.2021766277
234	0.2019510045
235	0.201898172
236	0.2018930102
237	0.2017532249
238	0.2016470964
239	0.201585239
240	0.201555023
241	0.2014809593
242	0.2014419635
243	0.2013758538
244	0.2013083678
245	0.2012989382
246	0.2012959447
247	0.2012006775
248	0.201100862
249	0.2010480647
250	0.200974726
251	0.2009591053
252	0.2008167185
253	0.2008144401
254	0.2007419956
255	0.2007108679
256	0.2005710099
257	0.2004060457
258	0.2003457468
259	0.2002948897
260	0.2001278055
261	0.2001264872
262	0.2000151821
263	0.2000114027
264	0.1999031712
265	0.1998236482
266	0.1997292151
267	0.1995494003
268	0.1995367246
269	0.1995243347
270	0.1994317826
271	0.1993242195
272	0.199220249
273	0.1991523191
274	0.1991486903
275	0.1991387921
276	0.1990283939
277	0.1989144959
278	0.1988816599
279	0.198794838
280	0.1987310948
281	0.1987267266
282	0.1987051148
283	0.1986853051
284	0.1986760508
285	0.19867192
286	0.1985902481
287	0.1985865692
288	0.1985025417
289	0.1984980627
290	0.1983804485
291	0.1981949876
292	0.1979359923
293	0.1977873673
294	0.1977457733
295	0.1977380983
296	0.1977005602
297	0.1976937219
298	0.1976496601
299	0.197570742
300	0.1975391725
301	0.1975334294
302	0.1975161929
303	0.1974791718
304	0.1973542304
305	0.1973159667
306	0.1973116635
307	0.1972642399
308	0.1971717834
309	0.1971534135
310	0.1971491437
311	0.1971456434
312	0.1970669358
313	0.1969472338
314	0.1968857077
315	0.1968756903
316	0.1968550343
317	0.1967597201
318	0.1965613182
319	0.196496215
320	0.1964642929
321	0.196347362
322	0.1962367397
323	0.1962322957
324	0.196200791
325	0.1961904498
326	0.1961078386
327	0.1961030346
328	0.1960265802
329	0.195979928
330	0.1959369728
331	0.1958496477
332	0.1958161284
333	0.1958131426
334	0.1957234719
335	0.1957162978
336	0.1956024831
337	0.1955824499
338	0.1955597002
339	0.1955563433
340	0.1955404839
341	0.1955378599
342	0.1955309857
343	0.195527199
344	0.1954530419
345	0.1953329841
346	0.1953183503
347	0.1953042376
348	0.1952927223
349	0.195287326
350	0.1952816856
351	0.1951678103
352	0.1951362437
353	0.1951278432
354	0.1951230159
355	0.1951198683
356	0.195047842
357	0.1950408172
358	0.1950312847
359	0.1949821481
360	0.1949086378
361	0.1949004346
362	0.1948744098
363	0.1948484228
364	0.194846739
365	0.1948003944
366	0.1947968166
367	0.1947940543
368	0.1947641361
369	0.1946810864
370	0.1946781641
371	0.1946742338
372	0.1946320609
373	0.1945322088
374	0.1945007355
375	0.1944926818
376	0.1944902231
377	0.1944883962
378	0.1944859719
379	0.1944827042
380	0.1944703247
381	0.1944662374
382	0.1944638008
383	0.1943324886
384	0.1943300634
385	0.1942403214
386	0.1942129649
387	0.1942010313
388	0.1941670113
389	0.1941653173
390	0.194163899
391	0.1941508493
392	0.1941493248
393	0.1941198786
394	0.1941182368
395	0.1941102511
396	0.1941053653
397	0.1941024725
398	0.1940983217
399	0.1940106032
400	0.194006692
401	0.1940037496
402	0.1939902192
403	0.1939764684
404	0.1939727649
405	0.1939477384
406	0.1939346849
407	0.1939331364
408	0.1939317333
409	0.193838548
410	0.1938350044
411	0.1937674759
412	0.1937636686
413	0.1937622918
414	0.1937460126
415	0.1937436849
416	0.1937195941
417	0.1937161233
418	0.1937127712
419	0.1936579403
420	0.193656525
421	0.1936544602
422	0.1936529271
423	0.1936513938
424	0.1936498853
425	0.1936462784
426	0.1936446286
427	0.1936431613
428	0.1935329876
429	0.1935315325
430	0.1934809423
431	0.1934764208
432	0.1934752689
433	0.1934738138
434	0.1934609499
435	0.1934584386
436	0.1934571408
437	0.1934414765
438	0.1934404049
439	0.1934377822
440	0.1934353838
441	0.1933209846
442	0.1933177154
443	0.1933154027
444	0.1933112697
445	0.1933070809
446	0.1933028005
447	0.1932990979
448	0.1932955818
449	0.1932156912
450	0.1931117831
451	0.1931076726
452	0.193076068
453	0.1930638083
454	0.1930614623
455	0.1930575356
456	0.1929942344
457	0.1929899899
458	0.1929887188
459	0.1929874856
460	0.192983758
461	0.1928556846
462	0.1928543458
463	0.1928508036
464	0.1928495452
465	0.1927526082
466	0.1927514417
467	0.1927475957
468	0.1927463234
469	0.1926549766
470	0.1926513398
471	0.1926483315
472	0.1925268122
473	0.1923958975
474	0.192394757
475	0.1923935102
476	0.1922984772
477	0.1922945779
478	0.192232077
479	0.1922286958
480	0.1921904799
481	0.1921876833
482	0.1921847057
483	0.1921600231
484	0.1920884241
485	0.1919877619
486	0.1919867518
487	0.1919829577
